leader,follower,lag1_mu,lags1_5_avg,n_shocks,abs_1
PEBBLES_XS,PEBBLES_S,-0.027355961594777725,-0.007874257316431902,752,0.027355961594777725
PEBBLES_XS,PEBBLES_M,0.0122588818268372,0.01599149478833065,752,0.0122588818268372
PEBBLES_XS,PEBBLES_L,-0.00768286613718201,-0.028570476036268645,752,0.00768286613718201
PEBBLES_XS,PEBBLES_XL,0.029800001208190822,0.01283268358481035,752,0.029800001208190822
PEBBLES_S,PEBBLES_XS,-0.016766626836752903,-0.009653770926210965,685,0.016766626836752903
PEBBLES_S,PEBBLES_M,0.03194716371094254,0.03862942453703385,685,0.03194716371094254
PEBBLES_S,PEBBLES_L,0.0020771076550029867,-0.015178907776020666,685,0.0020771076550029867
PEBBLES_S,PEBBLES_XL,-0.0676357452758877,-0.001268181686572966,685,0.0676357452758877
PEBBLES_M,PEBBLES_XS,0.05565641529071418,0.03336767021483596,702,0.05565641529071418
PEBBLES_M,PEBBLES_S,-0.009638371080955806,0.009918126405537433,702,0.009638371080955806
PEBBLES_M,PEBBLES_L,0.014074045519360964,-0.00016652489094951401,702,0.014074045519360964
PEBBLES_M,PEBBLES_XL,0.004233389266413217,-0.01996053630115293,702,0.004233389266413217
PEBBLES_L,PEBBLES_XS,-0.005441362387352827,0.01524794383503728,679,0.005441362387352827
PEBBLES_L,PEBBLES_S,-0.022676489814201343,0.002267976688864234,679,0.022676489814201343
PEBBLES_L,PEBBLES_M,0.03411495703798568,0.01045798445689263,679,0.03411495703798568
PEBBLES_L,PEBBLES_XL,0.010558634848547365,-0.002850878753760006,679,0.010558634848547365
PEBBLES_XL,PEBBLES_XS,-0.028896406517637654,-0.034151661366300344,719,0.028896406517637654
PEBBLES_XL,PEBBLES_S,0.0142140879728176,-0.008072846175106433,719,0.0142140879728176
PEBBLES_XL,PEBBLES_M,-0.019460264408761238,-0.0129565984883741,719,0.019460264408761238
PEBBLES_XL,PEBBLES_L,-0.0607266269666867,-0.015228618443025005,719,0.0607266269666867
