timestamp;buyer;seller;symbol;currency;price;quantity
0;;;ASH_COATED_OSMIUM;XIRECS;9982.0;5
4200;;;ASH_COATED_OSMIUM;XIRECS;10002.0;2
4400;;;INTARIAN_PEPPER_ROOT;XIRECS;11010.0;3
5000;;;INTARIAN_PEPPER_ROOT;XIRECS;10996.0;4
9100;;;ASH_COATED_OSMIUM;XIRECS;9994.0;3
9600;;;ASH_COATED_OSMIUM;XIRECS;9989.0;4
12100;;;ASH_COATED_OSMIUM;XIRECS;9989.0;4
15100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;1
15100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;7
18500;;;ASH_COATED_OSMIUM;XIRECS;10010.0;4
23100;;;INTARIAN_PEPPER_ROOT;XIRECS;11019.0;3
23900;;;ASH_COATED_OSMIUM;XIRECS;9991.0;3
24600;;;ASH_COATED_OSMIUM;XIRECS;9991.0;2
30400;;;ASH_COATED_OSMIUM;XIRECS;10010.0;1
30400;;;INTARIAN_PEPPER_ROOT;XIRECS;11036.0;5
33300;;;INTARIAN_PEPPER_ROOT;XIRECS;11036.0;4
34000;;;ASH_COATED_OSMIUM;XIRECS;10010.0;6
34400;;;INTARIAN_PEPPER_ROOT;XIRECS;11043.0;3
34500;;;ASH_COATED_OSMIUM;XIRECS;9994.0;6
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;11042.0;6
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;11039.0;3
35800;;;INTARIAN_PEPPER_ROOT;XIRECS;11032.0;6
36500;;;ASH_COATED_OSMIUM;XIRECS;10013.0;1
37900;;;ASH_COATED_OSMIUM;XIRECS;9996.0;4
39100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;4
39900;;;ASH_COATED_OSMIUM;XIRECS;10013.0;5
41500;;;ASH_COATED_OSMIUM;XIRECS;10009.0;3
42800;;;INTARIAN_PEPPER_ROOT;XIRECS;11052.0;3
44700;;;INTARIAN_PEPPER_ROOT;XIRECS;11041.0;6
50900;;;ASH_COATED_OSMIUM;XIRECS;9990.0;4
57000;;;INTARIAN_PEPPER_ROOT;XIRECS;11063.0;4
58400;;;ASH_COATED_OSMIUM;XIRECS;9990.0;3
59500;;;ASH_COATED_OSMIUM;XIRECS;10007.0;2
62000;;;ASH_COATED_OSMIUM;XIRECS;10008.0;6
63700;;;ASH_COATED_OSMIUM;XIRECS;9990.0;2
64300;;;INTARIAN_PEPPER_ROOT;XIRECS;11060.0;3
64900;;;ASH_COATED_OSMIUM;XIRECS;10005.0;3
65300;;;ASH_COATED_OSMIUM;XIRECS;9989.0;2
67600;;;INTARIAN_PEPPER_ROOT;XIRECS;11070.0;4
71500;;;INTARIAN_PEPPER_ROOT;XIRECS;11068.0;4
76300;;;ASH_COATED_OSMIUM;XIRECS;9994.0;4
77200;;;INTARIAN_PEPPER_ROOT;XIRECS;11071.0;2
80200;;;INTARIAN_PEPPER_ROOT;XIRECS;11074.0;4
83700;;;ASH_COATED_OSMIUM;XIRECS;10009.0;1
84600;;;INTARIAN_PEPPER_ROOT;XIRECS;11091.0;4
84800;;;INTARIAN_PEPPER_ROOT;XIRECS;11088.0;5
85500;;;ASH_COATED_OSMIUM;XIRECS;9995.0;7
85700;;;ASH_COATED_OSMIUM;XIRECS;10011.0;3
87400;;;INTARIAN_PEPPER_ROOT;XIRECS;11081.0;2
87900;;;ASH_COATED_OSMIUM;XIRECS;9993.0;4
88300;;;ASH_COATED_OSMIUM;XIRECS;10011.0;2
90200;;;ASH_COATED_OSMIUM;XIRECS;10011.0;8
90800;;;ASH_COATED_OSMIUM;XIRECS;9994.0;4
91700;;;INTARIAN_PEPPER_ROOT;XIRECS;11088.0;6
92500;;;INTARIAN_PEPPER_ROOT;XIRECS;11101.0;5
95100;;;INTARIAN_PEPPER_ROOT;XIRECS;11091.0;7
95900;;;ASH_COATED_OSMIUM;XIRECS;10007.0;3
96900;;;ASH_COATED_OSMIUM;XIRECS;10007.0;6
96900;;;ASH_COATED_OSMIUM;XIRECS;10007.0;6
97200;;;INTARIAN_PEPPER_ROOT;XIRECS;11103.0;7
105900;;;ASH_COATED_OSMIUM;XIRECS;10011.0;4
107000;;;INTARIAN_PEPPER_ROOT;XIRECS;11113.0;7
107200;;;ASH_COATED_OSMIUM;XIRECS;9991.0;2
108800;;;INTARIAN_PEPPER_ROOT;XIRECS;11112.0;2
109800;;;INTARIAN_PEPPER_ROOT;XIRECS;11116.0;3
111600;;;ASH_COATED_OSMIUM;XIRECS;9992.0;5
116100;;;ASH_COATED_OSMIUM;XIRECS;9989.0;7
117500;;;INTARIAN_PEPPER_ROOT;XIRECS;11111.0;5
122000;;;ASH_COATED_OSMIUM;XIRECS;10007.0;8
122300;;;ASH_COATED_OSMIUM;XIRECS;10007.0;5
122400;;;INTARIAN_PEPPER_ROOT;XIRECS;11128.0;7
126400;;;ASH_COATED_OSMIUM;XIRECS;9988.0;2
126500;;;ASH_COATED_OSMIUM;XIRECS;9988.0;5
129500;;;INTARIAN_PEPPER_ROOT;XIRECS;11136.0;3
