day,timestamp,hydro_norm,velvet_norm,spread_norm,abs_spread_norm,spread_z,rolling_level_corr,rolling_move_corr,is_node,regime,fwd_spread_change_1000,fwd_abs_spread_change_1000,fwd_VELVETFRUIT_EXTRACT_1000_bps,fwd_HYDROGEL_PACK_1000_bps,fwd_VEV_5000_1000_bps,fwd_VEV_5200_1000_bps,fwd_VEV_5300_1000_bps,fwd_VEV_5400_1000_bps,fwd_VEV_5500_1000_bps,fwd_spread_change_5000,fwd_abs_spread_change_5000,fwd_VELVETFRUIT_EXTRACT_5000_bps,fwd_HYDROGEL_PACK_5000_bps,fwd_VEV_5000_5000_bps,fwd_VEV_5200_5000_bps,fwd_VEV_5300_5000_bps,fwd_VEV_5400_5000_bps,fwd_VEV_5500_5000_bps,fwd_spread_change_10000,fwd_abs_spread_change_10000,fwd_VELVETFRUIT_EXTRACT_10000_bps,fwd_HYDROGEL_PACK_10000_bps,fwd_VEV_5000_10000_bps,fwd_VEV_5200_10000_bps,fwd_VEV_5300_10000_bps,fwd_VEV_5400_10000_bps,fwd_VEV_5500_10000_bps,fwd_spread_change_50000,fwd_abs_spread_change_50000,fwd_VELVETFRUIT_EXTRACT_50000_bps,fwd_HYDROGEL_PACK_50000_bps,fwd_VEV_5000_50000_bps,fwd_VEV_5200_50000_bps,fwd_VEV_5300_50000_bps,fwd_VEV_5400_50000_bps,fwd_VEV_5500_50000_bps
0,0,100.0,100.0,0.0,0.0,,,,True,WARMUP,0.07761904761905214,0.07761904761905214,-4.761904761905189,2.9999999999996696,-116.73151750972721,-98.52216748768461,-283.01886792452825,-217.39130434782595,0.0,0.15904761904761244,0.15904761904761244,-21.90476190476187,-6.000000000000449,-428.01556420233425,-689.6551724137934,-943.3962264150941,-1086.9565217391307,-1176.4705882352944,0.36333333333332973,0.36333333333332973,-33.333333333332995,2.9999999999996696,-622.5680933852141,-985.2216748768471,-1320.7547169811319,-1521.7391304347827,-1764.7058823529417,0.04857142857142094,0.04857142857142094,-22.85714285714335,-18.000000000000238,-428.01556420233425,-788.177339901478,-943.3962264150941,-1086.9565217391307,-1176.4705882352944
0,1000,100.03,99.95238095238095,0.07761904761905214,0.07761904761905214,,,,True,WARMUP,-0.030000000000001137,-0.030000000000001137,0.0,-2.9991002699192304,39.37007874015741,0.0,97.08737864077665,0.0,0.0,0.08238095238095866,0.08238095238095866,-15.245354930919497,-6.997900629811538,-275.5905511811019,-497.51243781094524,-485.4368932038833,-888.888888888889,-1176.4705882352944,0.25904761904760676,0.25904761904760676,-21.915197713197053,3.998800359892307,-374.0157480314965,-696.5174129353236,-873.7864077669899,-1111.1111111111115,-1176.4705882352944,-0.006666666666674814,-0.006666666666674814,-13.339685564554005,-13.995801259621965,-236.22047244094446,-597.0149253731338,-582.5242718446599,-666.6666666666665,-1176.4705882352944
0,2000,100.0,99.95238095238095,0.047619047619051,0.047619047619051,,,,True,WARMUP,-0.021904761904764314,-0.021904761904764314,-3.8113387327298742,-6.000000000000449,-78.43137254901933,-99.5024875621886,-192.30769230769275,0.0,0.0,0.3285714285714221,0.3285714285714221,-22.868032396379245,9.999999999998899,-431.37254901960745,-696.5174129353236,-961.5384615384614,-1111.1111111111115,-1176.4705882352944,0.260476190476183,0.260476190476183,-19.05669366364937,6.999999999999229,-352.9411764705881,-646.7661691542293,-769.2307692307687,-888.888888888889,-1176.4705882352944,0.08047619047619037,0.08047619047619037,-19.05669366364937,-10.999999999999899,-372.5490196078429,-696.5174129353236,-961.5384615384614,-888.888888888889,-1176.4705882352944
0,3000,99.94,99.91428571428571,0.02571428571428669,0.02571428571428669,,,,True,WARMUP,0.10666666666666913,0.10666666666666913,-6.6723858545414405,4.002401440863501,-118.57707509881466,-201.0050251256279,-294.1176470588236,-444.444444444444,-588.2352941176472,0.4285714285714306,0.4285714285714306,-22.876751501287316,20.012007204321947,-434.7826086956519,-804.0201005025127,-980.392156862745,-1333.333333333333,-1764.7058823529417,0.3233333333333377,0.3233333333333377,-13.344771709083991,19.01140684410718,-276.67984189723273,-502.5125628140703,-588.2352941176472,-888.888888888889,-1176.4705882352944,0.032857142857139365,0.032857142857139365,-14.29796968830388,-11.006603962377959,-276.67984189723273,-603.0150753768849,-686.2745098039213,-888.888888888889,-1176.4705882352944
0,4000,99.98,99.84761904761905,0.13238095238095582,0.13238095238095582,,,,False,WARMUP,0.026666666666656624,0.026666666666656624,-6.676840900419201,-4.000800160032236,-160.00000000000014,-307.69230769230774,-303.0303030303028,-465.11627906976713,-625.0,0.260476190476183,0.260476190476183,-19.07668828691311,7.001400280055581,-360.00000000000034,-666.6666666666665,-707.0707070707072,-930.2325581395354,-1250.0,0.20857142857143174,0.20857142857143174,-2.8615032430368004,18.003600720144508,-80.00000000000007,-205.1282051282055,-101.01010101010056,-232.55813953488413,-625.0,-0.10238095238095468,-0.10238095238095468,-4.769172071728001,-15.003000600120053,-100.00000000000009,-307.69230769230774,-303.0303030303028,-465.11627906976713,-625.0
0,5000,99.94,99.78095238095239,0.15904761904761244,0.15904761904761244,,,,False,WARMUP,0.0009523809523983573,0.0009523809523983573,1.908943399828722,2.0012007204317506,40.65040650406581,105.82010582010693,208.3333333333326,0.0,0.0,0.2042857142857173,0.2042857142857173,-11.453660398969001,9.005403241946208,-203.25203252032574,-317.46031746031747,-416.6666666666663,-487.8048780487809,-666.6666666666665,0.142857142857153,0.142857142857153,5.7268301994839454,20.012007204321947,121.95121951219522,211.64021164021162,312.5,243.90243902439045,0.0,-0.10238095238094047,-0.10238095238094047,-4.772358499570695,-15.00900540324146,-20.325203252032907,-158.73015873015927,-208.3333333333337,-243.90243902439045,0.0
0,6000,99.96000000000001,99.8,0.1600000000000108,0.1600000000000108,,,,False,WARMUP,0.21619047619046228,0.21619047619046228,-7.634316251550199,14.005602240896309,-121.45748987854255,-209.42408376963374,-408.1632653061229,-243.90243902439045,0.0,0.1766666666666481,0.1766666666666481,-6.680026720107257,11.004401760703608,-101.21457489878583,-209.42408376963374,-408.1632653061229,-243.90243902439045,0.0,0.1428571428571388,0.1428571428571388,5.7257371886620945,20.00800320127949,121.45748987854255,209.42408376963374,204.08163265306146,487.8048780487809,0.0,-0.18761904761906578,-0.13238095238095582,4.771447657219152,-14.005602240896309,121.45748987854255,0.0,0.0,243.90243902439045,666.6666666666665
0,7000,100.1,99.72380952380952,0.3761904761904731,0.3761904761904731,,,,False,WARMUP,0.07809523809524421,0.07809523809524421,-3.8200744914529405,3.9960039960029725,-81.96721311475419,-213.90374331550777,-212.7659574468088,-250.00000000000023,-666.6666666666665,-0.0680952380952391,-0.0680952380952391,3.8200744914518303,-2.9970029970027845,81.96721311475308,53.47593582887722,212.7659574468077,249.99999999999912,0.0,-0.017619047619035655,-0.017619047619035655,4.775093114315343,2.9970029970027845,163.93442622950838,213.90374331550888,425.5319148936176,500.00000000000045,0.0,-0.4604761904761858,-0.29190476190476033,19.100372457263592,-26.97302697302728,368.8524590163933,427.80748663101554,638.2978723404253,749.9999999999995,1333.333333333333
0,8000,100.14,99.68571428571428,0.4542857142857173,0.4542857142857173,,,,False,WARMUP,-0.06142857142857849,-0.06142857142857849,-2.866150759529562,-8.987417615338167,-41.32231404958664,-54.64480874316946,0.0,0.0,0.0,-0.10523809523809291,-0.10523809523809291,9.55383586509928,-0.9986019572594262,165.28925619834655,327.86885245901675,434.7826086956519,512.8205128205133,714.285714285714,-0.1652380952381094,-0.1652380952381094,9.55383586509928,-6.990213700819314,165.28925619834655,327.86885245901675,434.7826086956519,512.8205128205133,714.285714285714,-0.42952380952381475,-0.42952380952381475,21.01843890321975,-21.96924305971626,371.90082644628086,546.4480874316946,760.8695652173902,1025.6410256410265,1428.571428571428
0,9000,100.05,99.65714285714286,0.3928571428571388,0.3928571428571388,,,,False,WARMUP,-0.029523809523809064,-0.029523809523809064,0.9556574923541561,-1.9990004997505473,0.0,54.94505494505475,0.0,0.0,0.0,-0.05190476190475124,-0.05190476190475124,16.246177370029535,10.99450274862468,290.4564315352687,494.505494505495,652.1739130434789,769.2307692307687,714.285714285714,-0.06571428571429294,-0.06571428571429294,8.600917431191846,1.9990004997505473,165.97510373443924,274.7252747252737,217.39130434782706,256.4102564102555,714.285714285714,-0.37809523809524137,-0.37809523809524137,23.891437308869445,-13.9930034982505,414.9377593361003,604.3956043956044,652.1739130434789,769.2307692307687,1428.571428571428
