timestamp;buyer;seller;symbol;currency;price;quantity
0;;;ASH_COATED_OSMIUM;XIRECS;9982.0;5
3600;;;ASH_COATED_OSMIUM;XIRECS;10001.0;2
4200;;;ASH_COATED_OSMIUM;XIRECS;10002.0;1
4400;;;INTARIAN_PEPPER_ROOT;XIRECS;11010.0;2
9600;;;ASH_COATED_OSMIUM;XIRECS;9989.0;4
10000;;;ASH_COATED_OSMIUM;XIRECS;9988.0;6
12100;;;ASH_COATED_OSMIUM;XIRECS;9989.0;3
15100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;1
15100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;7
17400;;;INTARIAN_PEPPER_ROOT;XIRECS;11014.0;3
18500;;;ASH_COATED_OSMIUM;XIRECS;10010.0;5
23100;;;INTARIAN_PEPPER_ROOT;XIRECS;11019.0;4
23900;;;ASH_COATED_OSMIUM;XIRECS;9991.0;3
24300;;;ASH_COATED_OSMIUM;XIRECS;9992.0;4
24600;;;ASH_COATED_OSMIUM;XIRECS;9991.0;2
30400;;;ASH_COATED_OSMIUM;XIRECS;10010.0;2
30400;;;INTARIAN_PEPPER_ROOT;XIRECS;11036.0;3
32800;;;ASH_COATED_OSMIUM;XIRECS;9993.0;1
33300;;;INTARIAN_PEPPER_ROOT;XIRECS;11036.0;5
34000;;;ASH_COATED_OSMIUM;XIRECS;10010.0;6
34400;;;INTARIAN_PEPPER_ROOT;XIRECS;11043.0;3
34500;;;ASH_COATED_OSMIUM;XIRECS;9994.0;7
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;11042.0;6
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;11039.0;3
36500;;;ASH_COATED_OSMIUM;XIRECS;10013.0;1
37900;;;ASH_COATED_OSMIUM;XIRECS;9996.0;2
38400;;;ASH_COATED_OSMIUM;XIRECS;10012.0;3
39100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;4
42800;;;INTARIAN_PEPPER_ROOT;XIRECS;11052.0;4
44700;;;INTARIAN_PEPPER_ROOT;XIRECS;11041.0;7
54600;;;ASH_COATED_OSMIUM;XIRECS;9986.0;5
58400;;;ASH_COATED_OSMIUM;XIRECS;9990.0;2
59500;;;ASH_COATED_OSMIUM;XIRECS;10007.0;2
61700;;;INTARIAN_PEPPER_ROOT;XIRECS;11068.0;5
62000;;;ASH_COATED_OSMIUM;XIRECS;10008.0;3
63700;;;ASH_COATED_OSMIUM;XIRECS;9990.0;1
65300;;;ASH_COATED_OSMIUM;XIRECS;9989.0;1
71500;;;INTARIAN_PEPPER_ROOT;XIRECS;11068.0;3
73700;;;INTARIAN_PEPPER_ROOT;XIRECS;11065.0;2
76300;;;ASH_COATED_OSMIUM;XIRECS;9994.0;5
76500;;;ASH_COATED_OSMIUM;XIRECS;10013.0;5
77200;;;INTARIAN_PEPPER_ROOT;XIRECS;11071.0;3
80200;;;INTARIAN_PEPPER_ROOT;XIRECS;11074.0;3
83000;;;INTARIAN_PEPPER_ROOT;XIRECS;11086.0;5
83700;;;ASH_COATED_OSMIUM;XIRECS;10009.0;1
84400;;;INTARIAN_PEPPER_ROOT;XIRECS;11087.0;5
84600;;;INTARIAN_PEPPER_ROOT;XIRECS;11091.0;6
85500;;;ASH_COATED_OSMIUM;XIRECS;9995.0;3
85700;;;ASH_COATED_OSMIUM;XIRECS;10011.0;2
85900;;;ASH_COATED_OSMIUM;XIRECS;9995.0;2
87400;;;INTARIAN_PEPPER_ROOT;XIRECS;11081.0;1
87900;;;ASH_COATED_OSMIUM;XIRECS;9993.0;5
88300;;;ASH_COATED_OSMIUM;XIRECS;10011.0;2
90200;;;ASH_COATED_OSMIUM;XIRECS;10011.0;6
90700;;;ASH_COATED_OSMIUM;XIRECS;10015.0;2
90800;;;ASH_COATED_OSMIUM;XIRECS;9994.0;3
91700;;;INTARIAN_PEPPER_ROOT;XIRECS;11088.0;7
