day,ts,K,spot,mid,poly_iv,svi_iv,poly_fair,svi_fair,fair_diff
0,0,4000,5250.0,1250.0,0.01325,0.01321,1250.0,1250.0,0.0
0,0,4500,5250.0,750.0,0.0103,0.00702,750.0,750.0,-0.0
0,0,5000,5250.0,257.0,0.01102,0.00735,254.03,250.34,-3.69
0,0,5100,5250.0,171.5,0.01151,0.00851,167.23,156.93,-10.29
0,0,5200,5250.0,101.5,0.0121,0.00981,99.13,86.21,-12.91
0,0,5300,5250.0,53.0,0.01279,0.01116,53.71,44.4,-9.31
0,0,5400,5250.0,23.0,0.01356,0.01253,27.51,22.9,-4.61
0,0,5500,5250.0,8.5,0.01442,0.0139,13.86,12.26,-1.6
0,0,6000,5250.0,0.5,0.01979,0.0202,0.89,1.05,0.16
0,0,6500,5250.0,0.5,0.02664,0.02544,0.3,0.18,-0.12
0,10000,4000,5232.5,1232.5,0.01298,0.01326,1232.5,1232.5,0.0
0,10000,5000,5232.5,241.0,0.01089,0.00734,237.36,233.03,-4.33
0,10000,5100,5232.5,158.0,0.01141,0.00989,152.69,146.56,-6.13
0,10000,5200,5232.5,91.5,0.01204,0.01193,88.23,87.59,-0.64
0,10000,5300,5232.5,46.0,0.01276,0.01364,46.75,51.7,4.95
0,10000,5400,5232.5,19.5,0.01357,0.01515,23.6,30.57,6.97
0,10000,5500,5232.5,7.0,0.01447,0.01649,11.84,18.21,6.38
0,10000,6000,5232.5,0.5,0.02008,0.02178,0.84,1.58,0.74
0,10000,6500,5232.5,0.5,0.02722,0.02571,0.32,0.17,-0.15
0,20000,4000,5239.5,1239.5,0.01647,0.01743,1239.5,1239.5,0.0
0,20000,4500,5239.5,740.0,0.01265,0.01533,739.5,739.51,0.01
0,20000,5000,5239.5,248.0,0.01253,0.01348,247.38,249.8,2.42
0,20000,5100,5239.5,164.0,0.01286,0.01319,164.44,165.9,1.46
0,20000,5200,5239.5,95.5,0.01329,0.01296,99.49,97.6,-1.89
0,20000,5300,5239.5,49.0,0.01381,0.01282,55.27,49.66,-5.62
0,20000,5400,5239.5,20.5,0.01442,0.01281,28.87,21.78,-7.09
0,20000,5500,5239.5,7.5,0.01511,0.013,14.62,8.58,-6.04
0,20000,6000,5239.5,0.5,0.01969,0.01931,0.76,0.64,-0.12
0,20000,6500,5239.5,0.5,0.02578,0.02799,0.19,0.45,0.26
0,30000,4000,5231.0,1231.0,0.01315,0.01518,1231.0,1231.0,0.0
0,30000,4500,5231.0,731.0,0.01015,0.00992,731.0,731.0,-0.0
0,30000,5000,5231.0,240.0,0.01095,0.01026,236.05,234.79,-1.26
0,30000,5100,5231.0,157.0,0.01146,0.01122,151.67,150.63,-1.04
0,30000,5200,5231.0,90.0,0.01208,0.01233,87.54,88.98,1.44
0,30000,5300,5231.0,45.5,0.0128,0.01354,46.33,50.45,4.12
0,30000,5400,5231.0,19.0,0.01361,0.01479,23.36,28.54,5.18
0,30000,5500,5231.0,6.5,0.0145,0.01606,11.69,16.49,4.8
0,30000,6000,5231.0,0.5,0.02009,0.02208,0.82,1.7,0.89
0,30000,6500,5231.0,0.5,0.02721,0.02717,0.31,0.31,-0.0
0,40000,4000,5232.5,1232.5,0.01643,0.01754,1232.5,1232.5,0.0
0,40000,4500,5232.5,733.0,0.01253,0.0152,732.5,732.51,0.01
0,40000,5000,5232.5,241.0,0.01243,0.01321,240.74,242.78,2.04
0,40000,5100,5232.5,158.0,0.01277,0.01294,158.57,159.33,0.76
0,40000,5200,5232.5,90.5,0.01321,0.01275,94.9,92.23,-2.67
0,40000,5300,5232.5,46.0,0.01375,0.01269,52.16,46.22,-5.93
0,40000,5400,5232.5,19.5,0.01438,0.0128,27.0,20.27,-6.73
0,40000,5500,5232.5,7.0,0.01509,0.01316,13.6,8.28,-5.32
0,40000,6000,5232.5,0.5,0.01981,0.01975,0.73,0.72,-0.02
0,40000,6500,5232.5,0.5,0.02606,0.02805,0.2,0.43,0.23
0,50000,4000,5238.0,1238.0,0.01313,0.01435,1238.0,1238.0,0.0
0,50000,4500,5238.0,738.0,0.01015,0.00885,738.0,738.0,-0.0
0,50000,5000,5238.0,246.0,0.01094,0.00938,242.55,240.14,-2.41
0,50000,5100,5238.0,162.0,0.01146,0.0104,157.15,152.92,-4.23
0,50000,5200,5238.0,93.5,0.01207,0.01156,91.48,88.56,-2.92
0,50000,5300,5238.0,48.0,0.01278,0.01281,48.76,48.9,0.14
0,50000,5400,5238.0,20.5,0.01359,0.01409,24.69,26.93,2.24
0,50000,5500,5238.0,7.5,0.01447,0.01538,12.38,15.19,2.8
0,50000,6000,5238.0,0.5,0.02003,0.02145,0.85,1.45,0.61
0,50000,6500,5238.0,0.5,0.0271,0.02658,0.31,0.25,-0.06
0,60000,5000,5244.5,251.0,0.01251,0.01379,251.82,255.02,3.2
0,60000,5100,5244.5,166.0,0.01213,0.01231,165.1,165.87,0.77
0,60000,5200,5244.5,96.5,0.012,0.01133,94.92,91.1,-3.83
0,60000,5300,5244.5,49.0,0.01212,0.01104,47.44,41.41,-6.03
0,60000,5400,5244.5,21.0,0.01246,0.01152,21.21,17.36,-3.85
0,60000,5500,5244.5,8.0,0.01302,0.01261,9.03,8.0,-1.03
0,60000,6000,5244.5,0.5,0.01867,0.0206,0.49,1.13,0.63
0,60000,6500,5244.5,0.5,0.02824,0.02753,0.5,0.38,-0.11
0,70000,4000,5240.5,1240.5,0.01653,0.01743,1240.5,1240.5,0.0
0,70000,4500,5240.5,741.0,0.01261,0.01534,740.5,740.51,0.01
0,70000,5000,5240.5,249.0,0.01246,0.01347,248.03,250.55,2.52
0,70000,5100,5240.5,164.0,0.01279,0.01317,164.73,166.38,1.66
0,70000,5200,5240.5,94.5,0.01322,0.01292,99.44,97.72,-1.72
0,70000,5300,5240.5,48.0,0.01374,0.01275,55.04,49.45,-5.59
0,70000,5400,5240.5,20.5,0.01436,0.01271,28.61,21.42,-7.2
0,70000,5500,5240.5,7.5,0.01506,0.01287,14.42,8.25,-6.17
0,70000,6000,5240.5,0.5,0.01969,0.0193,0.75,0.63,-0.12
0,70000,6500,5240.5,0.5,0.02585,0.02808,0.19,0.45,0.26
0,80000,4000,5249.5,1249.5,0.01296,0.01304,1249.5,1249.5,0.0
0,80000,5000,5249.5,256.0,0.01077,0.00711,253.05,249.75,-3.3
0,80000,5100,5249.5,170.5,0.01128,0.00964,165.71,159.82,-5.89
0,80000,5200,5249.5,99.5,0.0119,0.01167,97.33,96.06,-1.27
0,80000,5300,5249.5,51.5,0.01261,0.0134,52.14,56.65,4.51
0,80000,5400,5249.5,22.5,0.01342,0.01491,26.42,33.38,6.96
0,80000,5500,5249.5,8.5,0.0143,0.01627,13.22,19.79,6.57
0,80000,6000,5249.5,0.5,0.01987,0.02159,0.88,1.67,0.79
0,80000,6500,5249.5,0.5,0.02695,0.02553,0.32,0.18,-0.14
0,90000,4000,5235.5,1235.5,0.01315,0.01505,1235.5,1235.5,0.0
0,90000,4500,5235.5,735.5,0.01011,0.00973,735.5,735.5,-0.0
0,90000,5000,5235.5,244.0,0.01089,0.01011,240.07,238.74,-1.33
0,90000,5100,5235.5,159.0,0.01141,0.01106,154.84,153.41,-1.43
0,90000,5200,5235.5,91.5,0.01203,0.01217,89.61,90.39,0.78
0,90000,5300,5235.5,46.0,0.01275,0.01337,47.46,50.92,3.45
0,90000,5400,5235.5,19.5,0.01356,0.01462,23.9,28.56,4.66
0,90000,5500,5235.5,7.5,0.01446,0.01589,11.94,16.37,4.42
0,90000,6000,5235.5,0.5,0.02008,0.02197,0.83,1.66,0.84
0,90000,6500,5235.5,0.5,0.02725,0.02718,0.32,0.31,-0.01
0,100000,4000,5237.5,1237.5,0.01651,0.01751,1237.5,1237.5,0.0
0,100000,4500,5237.5,738.0,0.01257,0.01531,737.5,737.51,0.01
0,100000,5000,5237.5,246.0,0.01244,0.01337,245.17,247.54,2.36
0,100000,5100,5237.5,161.5,0.01277,0.01307,162.19,163.54,1.35
0,100000,5200,5237.5,92.5,0.0132,0.01284,97.45,95.36,-2.08
0,100000,5300,5237.5,46.0,0.01374,0.01271,53.69,47.91,-5.78
0,100000,5400,5237.5,20.0,0.01436,0.01272,27.81,20.74,-7.07
0,100000,5500,5237.5,7.5,0.01507,0.01296,13.99,8.13,-5.86
0,100000,6000,5237.5,0.5,0.01976,0.01954,0.73,0.67,-0.07
0,100000,6500,5237.5,0.5,0.02601,0.02814,0.19,0.44,0.25
0,110000,4000,5222.0,1223.5,0.04104,0.03959,1223.86,1223.39,-0.46
0,110000,4500,5222.0,724.0,0.02211,0.02613,722.83,724.81,1.98
0,110000,5000,5222.0,233.0,0.01382,0.01308,235.11,232.91,-2.2
0,110000,5100,5222.0,151.0,0.01318,0.01165,152.24,145.23,-7.01
0,110000,5200,5222.0,84.5,0.01282,0.01108,86.39,76.32,-10.08
0,110000,5300,5222.0,41.0,0.01275,0.01137,42.49,35.15,-7.34
0,110000,5400,5222.0,17.5,0.01293,0.01232,18.56,16.25,-2.32
0,110000,5500,5222.0,6.5,0.01336,0.01366,7.66,8.37,0.7
0,110000,6000,5222.0,0.5,0.01877,0.02143,0.39,1.21,0.82
0,110000,6500,5222.0,0.5,0.02866,0.02807,0.47,0.38,-0.09
0,120000,4000,5222.0,1222.0,0.01316,0.01299,1222.0,1222.0,-0.0
0,120000,4500,5222.0,722.0,0.01004,0.00563,722.0,722.0,-0.0
0,120000,5000,5222.0,231.5,0.01085,0.00573,227.38,222.09,-5.29
0,120000,5100,5222.0,149.0,0.01138,0.00727,144.01,128.43,-15.57
0,120000,5200,5222.0,83.5,0.01202,0.00888,81.7,63.57,-18.13
0,120000,5300,5222.0,41.0,0.01276,0.0105,42.53,30.54,-11.99
0,120000,5400,5222.0,16.5,0.0136,0.0121,21.17,15.41,-5.76
0,120000,5500,5222.0,6.5,0.01452,0.01366,10.53,8.34,-2.19
0,120000,6000,5222.0,0.5,0.0203,0.02057,0.78,0.86,0.09
0,120000,6500,5222.0,0.5,0.02767,0.02613,0.32,0.17,-0.15
0,130000,4000,5240.5,1240.5,0.01654,0.0175,1240.5,1240.5,0.0
