group_a,group_b,beta,ar,resid_std,score
SLEEP_POD,ROBOT,-2.256441405270164,0.998411773191449,0.3830277921095795,0.0015882268085509743
MICROCHIP,ROBOT,0.8897693284073404,0.9989395288764192,0.22626507599349324,0.001060471123580764
MICROCHIP,SNACKPACK,1.3728597741283284,0.9991810727307933,0.2790880480671065,0.0008189272692067373
ROBOT,SNACKPACK,0.6784497911756066,0.9992426494861434,0.2509752991236801,0.0007573505138566139
ROBOT,UV_VISOR,-0.3500453354699874,0.9992694773109652,0.23822254621647346,0.0007305226890348404
ROBOT,PANEL,0.3701911728155436,0.9993024243909462,0.24911174001122935,0.0006975756090538132
ROBOT,OXYGEN_SHAKE,-0.19045639530865235,0.999332937709101,0.2575520942380209,0.0006670622908989676
PEBBLES,SNACKPACK,-0.5924339662719043,0.9993471012671225,0.16582499587111638,0.0006528987328775493
UV_VISOR,TRANSLATOR,0.4794572981725775,0.9993778471295044,0.28221082704770417,0.000622152870495607
SLEEP_POD,MICROCHIP,-1.7778401592121809,0.9993849903138196,0.40761724317505077,0.0006150096861804455
OXYGEN_SHAKE,SNACKPACK,1.1905596898482593,0.9993977816596156,0.282150741424097,0.0006022183403844306
ROBOT,TRANSLATOR,0.0068582367078447535,0.9994070897045191,0.2645725518445176,0.0005929102954809196
UV_VISOR,SNACKPACK,-0.8821433068860153,0.9994236573700643,0.3103398364530294,0.0005763426299356667
GALAXY_SOUNDS,PANEL,-1.1054094941788006,0.9994374822195086,0.41644293233845653,0.0005625177804914339
PEBBLES,OXYGEN_SHAKE,-0.27177043696007364,0.9994381220474025,0.15928598274982822,0.0005618779525975448
TRANSLATOR,OXYGEN_SHAKE,-0.4648517127436308,0.9994449838598418,0.31973903937123493,0.0005550161401581821
GALAXY_SOUNDS,UV_VISOR,1.0018574896920904,0.9994459670819327,0.3683982072635232,0.0005540329180673265
MICROCHIP,UV_VISOR,-0.6889666775693901,0.9994673383541673,0.23509823747379438,0.000532661645832655
PANEL,SNACKPACK,0.3957511661390585,0.9994701300341654,0.23581445477643523,0.0005298699658345951
GALAXY_SOUNDS,MICROCHIP,-0.936866829340553,0.9995047841647756,0.3882150839194974,0.000495215835224383
PANEL,OXYGEN_SHAKE,0.010825359833049992,0.9995075700138437,0.24079826819982839,0.0004924299861562842
GALAXY_SOUNDS,ROBOT,-0.8818707472869602,0.9995174235162547,0.43571684698853097,0.0004825764837452784
UV_VISOR,PANEL,-0.5489802841792606,0.9995475596746065,0.3011531250396673,0.00045244032539348833
PEBBLES,TRANSLATOR,0.19885038521173962,0.999560969257773,0.16715361633160034,0.0004390307422269535
GALAXY_SOUNDS,SLEEP_POD,0.46037077458835635,0.9995683315030415,0.37101920122847193,0.00043166849695852605
PEBBLES,PANEL,-0.2533447748228725,0.9995731337041017,0.17066112378549894,0.00042686629589827607
TRANSLATOR,PANEL,-0.3437723609279295,0.9995872167966209,0.3424180876683307,0.000412783203379119
PEBBLES,ROBOT,-0.21064336738836106,0.9996070598758101,0.1724570844908855,0.0003929401241898889
UV_VISOR,OXYGEN_SHAKE,-0.21159413207863215,0.9996395153930494,0.32193221524465765,0.00036048460695059514
TRANSLATOR,SNACKPACK,-0.10106991948498514,0.9996456408985226,0.35206297941785797,0.00035435910147740834
GALAXY_SOUNDS,TRANSLATOR,0.308520946696068,0.9996512008557692,0.48216024838210797,0.0003487991442308047
PEBBLES,UV_VISOR,0.09367632664511434,0.9996615753226283,0.17860109877869723,0.0003384246773716626
GALAXY_SOUNDS,SNACKPACK,-0.4131449732920552,0.9996705019227088,0.49161947308098636,0.0003294980772912126
MICROCHIP,PANEL,0.48688901391065115,0.9996844312849571,0.30474445319721477,0.00031556871504290207
GALAXY_SOUNDS,PEBBLES,0.1419239411255405,0.9996915605685407,0.49358863498680233,0.0003084394314593064
GALAXY_SOUNDS,OXYGEN_SHAKE,0.08029818854086218,0.9996936465985476,0.49359777557330226,0.0003063534014523528
MICROCHIP,PEBBLES,-0.5511950543025927,0.9997048738364503,0.31086663530465714,0.0002951261635496527
MICROCHIP,TRANSLATOR,-0.18218034497585173,0.9997344152703477,0.32015420388473503,0.00026558472965232394
SLEEP_POD,SNACKPACK,-1.6803126901906875,0.9997566570482784,0.6783100696230698,0.00024334295172157017
MICROCHIP,OXYGEN_SHAKE,0.017432954615520267,0.9997580083037516,0.32647653485081746,0.00024199169624838923
SLEEP_POD,UV_VISOR,1.3979837182205015,0.9997921612785314,0.5401234452611279,0.0002078387214685673
SLEEP_POD,OXYGEN_SHAKE,0.4475794510037753,0.9998636742519086,0.6948842516069241,0.00013632574809141484
SLEEP_POD,PANEL,-0.9126051811030925,0.9998650554130227,0.6744170968058067,0.0001349445869772703
SLEEP_POD,PEBBLES,0.6099639784184346,0.9998907676391047,0.7006560241471077,0.00010923236089532828
SLEEP_POD,TRANSLATOR,0.1341286299570747,0.9998982704652823,0.7077480596124196,0.00010172953471765389
