a,b,n,pearson,spearman,kendall,lambda_L@q=0.01,lambda_L@q=0.025,lambda_L@q=0.05,lambda_L@q=0.1,lambda_U@q=0.01,lambda_U@q=0.025,lambda_U@q=0.05,lambda_U@q=0.1,clayton_implied_lL,gumbel_implied_lU,asymmetry_q05,abs_pearson
SNACKPACK,UV_VISOR,29999,0.1364182428062196,0.08570478071606098,0.05739699512751943,0.06,0.096,0.13066666666666665,0.15433333333333332,0.05333333333333334,0.12266666666666666,0.13,0.16233333333333333,0.0033741564276424546,0.07800710241768827,0.0006666666666666488,0.1364182428062196
SNACKPACK,GALAXY_SOUNDS,29999,0.1234006721592356,0.07295966050258434,0.048810687626961176,0.06666666666666667,0.10933333333333334,0.128,0.15866666666666668,0.056666666666666664,0.10933333333333334,0.126,0.15966666666666668,0.0011664513168476538,0.0665341105352859,0.0020000000000000018,0.1234006721592356
SNACKPACK,OXYGEN_SHAKE,29999,0.1182624926987898,0.06799259634631775,0.04548609295265951,0.04,0.10533333333333333,0.13266666666666665,0.164,0.02666666666666667,0.08933333333333333,0.116,0.15666666666666668,0.0006941952911223886,0.062073429416182435,0.01666666666666665,0.1182624926987898
SNACKPACK,TRANSLATOR,29999,0.10046406080736697,0.06268107517533737,0.041886808587776984,0.043333333333333335,0.072,0.10466666666666667,0.14633333333333334,0.04666666666666667,0.08,0.10266666666666667,0.13666666666666666,0.0003606951540893624,0.05723258865171976,0.0020000000000000018,0.10046406080736697
SNACKPACK,PANEL,29999,0.09349229847672955,0.06299294484472237,0.04205872355666962,0.023333333333333334,0.06666666666666667,0.09333333333333334,0.129,0.03666666666666667,0.06666666666666667,0.08533333333333333,0.123,0.00037310255342096936,0.05746407963965816,0.008000000000000007,0.09349229847672955
SNACKPACK,SLEEP_POD,29999,0.08606802165672842,0.048881574603501295,0.03263569238560369,0.03,0.08,0.094,0.13733333333333334,0.016666666666666666,0.058666666666666666,0.09933333333333333,0.13266666666666665,3.455731440768352e-05,0.04473478829593014,-0.005333333333333329,0.08606802165672842
SNACKPACK,ROBOT,29999,0.051268419796885234,0.03444051732097539,0.022990243417696787,0.013333333333333334,0.052,0.076,0.123,0.006666666666666667,0.036,0.07333333333333333,0.12866666666666668,4.0142781744146837e-07,0.03161864431128869,0.0026666666666666644,0.051268419796885234
OXYGEN_SHAKE,GALAXY_SOUNDS,29999,0.039889901472572015,0.03426670247587714,0.022851136173948208,0.016666666666666666,0.03333333333333333,0.06333333333333334,0.117,0.016666666666666666,0.034666666666666665,0.05733333333333333,0.114,3.66229135434873e-07,0.03142884029961679,0.006000000000000005,0.039889901472572015
GALAXY_SOUNDS,TRANSLATOR,29999,0.031574955246269014,0.026147015392768133,0.017416894984127535,0.016666666666666666,0.034666666666666665,0.06866666666666667,0.11533333333333333,0.02666666666666667,0.028,0.05266666666666667,0.10433333333333333,3.225661871551586e-09,0.023999783466128743,0.016,0.031574955246269014
OXYGEN_SHAKE,UV_VISOR,29999,0.02929689044437238,0.03163174710486216,0.021102890242128903,0.013333333333333334,0.02666666666666667,0.058,0.10366666666666667,0.01,0.032,0.054,0.10666666666666667,1.0425088901169251e-07,0.029041896083962238,0.0040000000000000036,0.02929689044437238
UV_VISOR,PANEL,29999,0.02927446748892014,0.026306563599678714,0.0175549754585348,0.02,0.037333333333333336,0.05266666666666667,0.108,0.02,0.032,0.06266666666666666,0.11233333333333333,3.772181392172265e-09,0.024188897577499535,-0.009999999999999995,0.02927446748892014
UV_VISOR,TRANSLATOR,29999,0.024644015943186846,0.02046861805854226,0.013637103680063335,0.006666666666666667,0.02266666666666667,0.06066666666666667,0.11333333333333333,0.006666666666666667,0.029333333333333333,0.06133333333333333,0.111,1.2982175498612725e-11,0.018815970663898396,-0.0006666666666666626,0.024644015943186846
UV_VISOR,SLEEP_POD,29999,0.023667195108257624,0.021544306589004886,0.01438956559124898,0.01,0.029333333333333333,0.056,0.11333333333333333,0.013333333333333334,0.029333333333333333,0.056,0.10733333333333334,4.903488342111007e-11,0.019849021155876834,0.0,0.023667195108257624
GALAXY_SOUNDS,UV_VISOR,29999,0.023368057406320586,0.020794907265404523,0.013888644389130816,0.016666666666666666,0.02666666666666667,0.06066666666666667,0.113,0.016666666666666666,0.034666666666666665,0.066,0.10833333333333334,2.057047758376599e-11,0.019161369365100045,-0.005333333333333336,0.023368057406320586
GALAXY_SOUNDS,SLEEP_POD,29999,0.023333022411600807,0.020462436507512,0.013649464916159473,0.02,0.034666666666666665,0.06666666666666667,0.11166666666666666,0.016666666666666666,0.030666666666666665,0.056,0.10366666666666667,1.3284431130665006e-11,0.01883294568490146,0.010666666666666665,0.023333022411600807
OXYGEN_SHAKE,SLEEP_POD,29999,0.023094682167601483,0.022143090928774898,0.014798988754877736,0.01,0.034666666666666665,0.05466666666666667,0.111,0.013333333333333334,0.030666666666666665,0.06733333333333333,0.10433333333333333,9.547458507628655e-11,0.020410889484838934,-0.01266666666666666,0.023094682167601483
OXYGEN_SHAKE,PANEL,29999,0.022769067389277635,0.02464644566624119,0.01647473854835542,0.006666666666666667,0.018666666666666668,0.052,0.11233333333333333,0.01,0.02266666666666667,0.056,0.10733333333333334,1.0337286710986782e-09,0.022708928992001054,-0.0040000000000000036,0.022769067389277635
SLEEP_POD,PANEL,29999,0.021437338799025183,0.020262395938121822,0.013527043785429559,0.01,0.03333333333333333,0.062,0.11366666666666667,0.01,0.03333333333333333,0.056,0.101,1.055713137741913e-11,0.01866482491460597,0.005999999999999998,0.021437338799025183
GALAXY_SOUNDS,PANEL,29999,0.020056683948628605,0.015390584047759033,0.010265393183173,0.016666666666666666,0.030666666666666665,0.066,0.11133333333333334,0.0033333333333333335,0.028,0.06133333333333333,0.109,3.0771206996106187e-15,0.014180347233811341,0.004666666666666673,0.020056683948628605
UV_VISOR,ROBOT,29999,0.01687519414623515,0.015069014574637432,0.01003541907516214,0.0033333333333333335,0.02666666666666667,0.04733333333333333,0.10933333333333334,0.013333333333333334,0.02666666666666667,0.056,0.10333333333333333,1.4195087652563945e-15,0.013863770624330085,-0.00866666666666667,0.01687519414623515
OXYGEN_SHAKE,ROBOT,29999,0.01557689062072488,0.016557369048555145,0.01104437774656493,0.0033333333333333335,0.025333333333333333,0.054,0.09666666666666666,0.01,0.036,0.064,0.11333333333333333,3.3290029542400024e-14,0.01525230302160785,-0.010000000000000002,0.01557689062072488
SLEEP_POD,TRANSLATOR,29999,0.015162100807410768,0.013541996177079938,0.009013343536546226,0.01,0.02266666666666667,0.056666666666666664,0.11,0.016666666666666666,0.030666666666666665,0.05333333333333334,0.106,2.8273835943830117e-17,0.012456196301581457,0.003333333333333327,0.015162100807410768
TRANSLATOR,PANEL,29999,0.014826237072645016,0.012765419830948829,0.008530059653676347,0.02,0.03333333333333333,0.051333333333333335,0.10633333333333334,0.02,0.029333333333333333,0.05333333333333334,0.104,3.200879811630054e-18,0.01179028371227897,-0.0020000000000000018,0.014826237072645016
OXYGEN_SHAKE,TRANSLATOR,29999,0.014283404836725024,0.015841461566953447,0.010585149602548813,0.016666666666666666,0.032,0.058666666666666666,0.10733333333333334,0.013333333333333334,0.029333333333333333,0.058666666666666666,0.10833333333333334,8.53229227293204e-15,0.014620432075807877,0.0,0.014283404836725024
GALAXY_SOUNDS,ROBOT,29999,0.014076041258627998,0.016648982870178165,0.011092778142052477,0.013333333333333334,0.034666666666666665,0.058,0.099,0.013333333333333334,0.02666666666666667,0.05533333333333333,0.1,3.8174839557733744e-14,0.015318887406657655,0.0026666666666666713,0.014076041258627998
PANEL,ROBOT,29999,0.009411280325145748,0.007665014908012991,0.005104810469702948,0.016666666666666666,0.024,0.04933333333333333,0.098,0.01,0.028,0.05466666666666667,0.10866666666666666,4.630004144451687e-30,0.00706426455444209,-0.005333333333333336,0.009411280325145748
SLEEP_POD,ROBOT,29999,0.009215581481722737,0.010578886045095874,0.0070542231844201685,0.006666666666666667,0.042666666666666665,0.056666666666666664,0.11666666666666667,0.01,0.02666666666666667,0.052,0.10333333333333333,6.511055631519799e-22,0.009755360408590041,0.004666666666666666,0.009215581481722737
TRANSLATOR,ROBOT,29999,0.009018378726169238,0.008796750071458812,0.005869220242314854,0.023333333333333334,0.028,0.054,0.10366666666666667,0.013333333333333334,0.030666666666666665,0.050666666666666665,0.10733333333333334,3.20414259398038e-26,0.00811993882357176,0.003333333333333334,0.009018378726169238
OXYGEN_SHAKE,MICROCHIP,29999,-0.006218771816173523,-0.007930651902677707,-0.005291873620046731,0.0,0.018666666666666668,0.044,0.09366666666666666,0.013333333333333334,0.018666666666666668,0.04733333333333333,0.1,0.0,0.0,-0.003333333333333334,0.006218771816173523
ROBOT,MICROCHIP,29999,-0.006065582019797983,-0.005233432826319448,-0.0034949561545155497,0.006666666666666667,0.030666666666666665,0.046,0.09933333333333333,0.01,0.024,0.05333333333333334,0.09933333333333333,0.0,0.0,-0.0073333333333333375,0.006065582019797983
SLEEP_POD,MICROCHIP,29999,-0.005090083556960392,-0.004111707935434193,-0.0027569223527754505,0.01,0.018666666666666668,0.050666666666666665,0.09466666666666666,0.006666666666666667,0.02,0.046,0.10233333333333333,0.0,0.0,0.004666666666666666,0.005090083556960392
TRANSLATOR,MICROCHIP,29999,-0.0045676464454895375,-0.00492475414002566,-0.0032875576373469404,0.016666666666666666,0.02,0.058666666666666666,0.10133333333333333,0.013333333333333334,0.02266666666666667,0.04066666666666666,0.10466666666666667,0.0,0.0,0.018000000000000002,0.0045676464454895375
ROBOT,PEBBLES,29999,-0.004500358952551516,-0.0024179266824061814,-0.0016188796621464823,0.02666666666666667,0.04133333333333333,0.059333333333333335,0.10233333333333333,0.02666666666666667,0.044,0.05733333333333333,0.10033333333333333,0.0,0.0,0.0020000000000000018,0.004500358952551516
GALAXY_SOUNDS,MICROCHIP,29999,0.004364125342375366,0.0025575641907355975,0.00170091897700677,0.01,0.03333333333333333,0.05733333333333333,0.10833333333333334,0.013333333333333334,0.025333333333333333,0.050666666666666665,0.09633333333333334,4.572109788646977e-89,0.0023565849218516455,0.006666666666666668,0.004364125342375366
PANEL,PEBBLES,29999,0.00425092930086659,0.004031365487590169,0.0026939738358414205,0.02,0.024,0.05533333333333333,0.09933333333333333,0.01,0.03333333333333333,0.04733333333333333,0.106,1.9033573111554677e-56,0.003731156021636206,0.008,0.00425092930086659
SNACKPACK,MICROCHIP,29999,-0.0037517318153768306,-0.0022772235510723883,-0.00154255202955284,0.01,0.030666666666666665,0.062,0.104,0.016666666666666666,0.028,0.05,0.09833333333333333,0.0,0.0,0.011999999999999997,0.0037517318153768306
PANEL,MICROCHIP,29999,-0.0026263216365891547,-0.005148198824886491,-0.003449667181274423,0.01,0.028,0.052,0.10533333333333333,0.013333333333333334,0.037333333333333336,0.06,0.09666666666666666,0.0,0.0,-0.008,0.0026263216365891547
GALAXY_SOUNDS,PEBBLES,29999,0.002419100816160137,0.0036300448106365195,0.002418630746588813,0.0033333333333333335,0.012,0.04466666666666667,0.10333333333333333,0.0033333333333333335,0.016,0.054,0.10533333333333333,8.298963921367282e-63,0.00335012519368294,-0.009333333333333332,0.002419100816160137
UV_VISOR,MICROCHIP,29999,-0.0024025871072471815,-0.0008889335300442632,-0.0006026624871316855,0.0033333333333333335,0.02,0.05266666666666667,0.09466666666666666,0.013333333333333334,0.025333333333333333,0.05533333333333333,0.102,0.0,0.0,-0.0026666666666666644,0.0024025871072471815
SNACKPACK,PEBBLES,29999,-0.0022018254308598115,-0.0026913206567516293,-0.0017737440371287264,0.0033333333333333335,0.028,0.04733333333333333,0.09933333333333333,0.013333333333333334,0.030666666666666665,0.046,0.09333333333333334,0.0,0.0,0.0013333333333333322,0.0022018254308598115
MICROCHIP,PEBBLES,29999,-0.0018135575076484328,-0.0020314726987554917,-0.001364627570835689,0.02,0.028,0.046,0.09833333333333333,0.0,0.017333333333333333,0.05,0.10066666666666667,0.0,0.0,-0.0040000000000000036,0.0018135575076484328
SLEEP_POD,PEBBLES,29999,0.0013399441015650515,-0.003758355559648508,-0.0024720894256712576,0.01,0.025333333333333333,0.05333333333333334,0.10133333333333333,0.0033333333333333335,0.021333333333333333,0.04466666666666667,0.104,0.0,0.0,0.00866666666666667,0.0013399441015650515
OXYGEN_SHAKE,PEBBLES,29999,-0.0009806605173420825,0.0028554845416642006,0.0019122912248729516,0.0033333333333333335,0.017333333333333333,0.054,0.10866666666666666,0.006666666666666667,0.021333333333333333,0.04466666666666667,0.09833333333333333,2.762296942913633e-79,0.0026492423695640976,0.009333333333333332,0.0009806605173420825
TRANSLATOR,PEBBLES,29999,-0.0005637049511068295,-0.001156498743748822,-0.00076342522971536,0.0,0.024,0.051333333333333335,0.10133333333333333,0.01,0.02,0.054,0.10933333333333334,0.0,0.0,-0.0026666666666666644,0.0005637049511068295
UV_VISOR,PEBBLES,29999,0.000140262084380803,-0.0018554902342334451,-0.0012455489965762156,0.006666666666666667,0.024,0.04933333333333333,0.09433333333333334,0.013333333333333334,0.025333333333333333,0.04066666666666666,0.09633333333333334,0.0,0.0,0.00866666666666667,0.000140262084380803
